commercial_name;title;date;crypto_code;cleaned_title;sentiment_SIA
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
bitcoin;How 1,500 new Bitcoin millionaires per day deal with getting rich;2024-05-30;BTC-USD;how 1 500 new bitcoin millionaires per day deal with getting rich;0.5574
bitcoin;Here’s what happened in crypto today;2024-05-30;BTC-USD;here s what happened in crypto today;0.0
bitcoin;Traders say Bitcoin price fights ‘last resistance’ at $69K before new all-time highs;2024-05-30;BTC-USD;traders say bitcoin price fights last resistance at 69k before new all time highs;-0.4019
bitcoin;Bitcoin price aims for $69K as ‘hot’ US macro data pressures dollar;2024-05-30;BTC-USD;bitcoin price aims for 69k as hot us macro data pressures dollar;-0.3182
bitcoin;Exclusive: Joe Lubin unpacks SEC battle, Ethereum roadmap and Vitalik Buterin;2024-05-30;BTC-USD;exclusive joe lubin unpacks sec battle ethereum roadmap and vitalik buterin;-0.2732
bitcoin;Alex Labs rolls out post-exploit recovery plan;2024-05-30;BTC-USD;alex labs rolls out post exploit recovery plan;-0.1027
bitcoin;Jack Dorsey-backed Bitcoin mining pool opens headquarters in El Salvador;2024-05-30;BTC-USD;jack dorsey backed bitcoin mining pool opens headquarters in el salvador;0.0258
bitcoin;Bitcoin traders brace for US macro data with BTC price stuck at $67K;2024-05-30;BTC-USD;bitcoin traders brace for us macro data with btc price stuck at 67k;-0.25
bitcoin;Bitcoin ETFs boost TradFi Investments: Binance France president;2024-05-30;BTC-USD;bitcoin etfs boost tradfi investments binance france president;0.4019
bitcoin;Vitalik Buterin wallet contributes 30 ETH to Tornado Cash legal fund;2024-05-30;BTC-USD;vitalik buterin wallet contributes 30 eth to tornado cash legal fund;0.128
bitcoin;Price analysis 5/30: BTC, ETH, BNB, SOL, XRP, DOGE, TON, SHIB, ADA, AVAX;2024-05-30;BTC-USD;price analysis 5 30 btc eth bnb sol xrp doge ton shib ada avax;0.0
bitcoin;Are crypto cashback rewards taxable?;2024-05-30;BTC-USD;are crypto cashback rewards taxable;0.4767
bitcoin;Bitcoin needs ‘3.3% or lower’ CPI print to reach new ATH;2024-05-30;BTC-USD;bitcoin needs 3 3 or lower cpi print to reach new ath;-0.2732
bitcoin;Bitcoin in 42-day ‘boredom zone’ — traders debate next move;2024-05-30;BTC-USD;bitcoin in 42 day boredom zone traders debate next move;-0.3182
bitcoin;Stablecoin market cap rises to 2-year highs as dominance slides to 6%: CCData;2024-05-29;BTC-USD;stablecoin market cap rises to 2 year highs as dominance slides to 6 ccdata;0.2023
